ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM1_EN,ADM1_FR,ADM1_RW,ADM2_EN,ADM3_EN
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Gitega
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Kanyinya
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Kigali
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Kimisagara
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Mageragere
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Kabagari
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Rugalika
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Gishari
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Nyakiliba
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Nyarugenge,Shyorongi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Rusarabuge
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Gishari
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Nyakariro
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Mimuri
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Jabana
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Jali
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Kacyiru
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Kimihurura
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Kimironko
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Kinyinya
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Ndera
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Nduba
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Remera
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Rusororo
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Gasabo,Rutunga
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Gahanga
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Gatenga
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Gikondo
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Kagarama
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Kanombe
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Kicukiro
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Kigarama
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Masaka
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Niboye
Rwanda,Rwanda (le),U Rwanda,Rwanda,Kigali City,Ville de Kigali,Umujyi wa Kigali,Kicukiro,Nyarugunga
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Busasamana
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Busoro
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Cyabakamyi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Kibilizi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Kigoma
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Mukingo
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Muyira
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Ntyazo
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Nyagisozi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyanza,Rwabicuma
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Gikonko
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Gishubi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Kansi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Kibirizi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Kigembe
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Mamba
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Muganza
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Mugombwa
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Mukindo
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Musha
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Ndora
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Nyanza
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Gisagara,Save
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Busanze
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Cyahinda
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Kibeho
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Kivu
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Mata
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Muganza
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Munini
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Ngera
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Ngoma
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Nyabimata
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Nyagisozi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Ruheru
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Ruramba
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Nyaruguru,Rusenge
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Gishamvu
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Huye
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Karama
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Kigoma
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Kinazi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Maraba
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Mbazi
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Mukura
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Ngoma
Rwanda,Rwanda (le),U Rwanda,Rwanda,Southern Province,Province du Sud,Amajyepfo,Huye,Ruhashya
